"site1","site2","jaccard.dissimilarity","env","clim","spatial.site","horn.dissimilarity","range.1","range.2","comp.range"
"M6","H6",0.873134328,0.765693817,1.046871433,230.8185581,0.426519786,"MogollonRim","Hualapai","Different"
"M7","H6",1,2.599744514,0.439491741,168.6140614,1,"MogollonRim","Hualapai","Different"
"M8","H6",1,2.679174321,0.517315633,168.877188,1,"MogollonRim","Hualapai","Different"
"M9","H6",0.989177489,2.738556351,0.575600758,168.8784542,0.972253336,"MogollonRim","Hualapai","Different"
"N1","H6",1,2.360765273,0.331709967,165.4129151,1,"Mingus","Hualapai","Different"
"N2","H6",0.997946612,2.411096681,0.287200425,165.7198431,0.99933857,"Mingus","Hualapai","Different"
"N3","H6",1,2.38568342,0.313929932,164.9502123,1,"Mingus","Hualapai","Different"
"P1","H6",1,0.293424014,1.918794256,462.1628347,1,"Pinaleno","Hualapai","Different"
"P2","H6",1,0.299745077,2.017646057,462.8235207,1,"Pinaleno","Hualapai","Different"
"P3","H6",1,1.041745161,1.96864852,462.1636915,1,"Pinaleno","Hualapai","Different"
"Sunset Trail","H6",1,0.260207183,2.810266028,412.370916,1,"MtLemmon","Hualapai","Different"
"Upper Solders Camp Rd.","H6",1,0.493022806,2.846071505,412.8616934,1,"MtLemmon","Hualapai","Different"
"A1","M1",0.972717733,1.397697077,1.551565519,92.9648348,0.849688554,"Flagstaff","MogollonRim","Different"
"A2","M1",0.989690722,1.341999912,1.552072551,92.08382373,0.99410223,"Flagstaff","MogollonRim","Different"
"A3","M1",0.998321584,1.388964654,1.547846036,91.79009934,0.995072976,"Flagstaff","MogollonRim","Different"
"B1","M1",0.97275641,1.41494441,0.596489828,97.79341774,0.857519872,"Bradshaw","MogollonRim","Different"
"B2","M1",0.973621103,1.381611297,0.591147736,97.93171431,0.905656084,"Bradshaw","MogollonRim","Different"
"B3","M1",0.977154047,1.428269142,0.590692008,97.41749076,0.908538516,"Bradshaw","MogollonRim","Different"
"Butterfly trail","M1",0.963153826,3.013849437,2.69552513,238.2047202,0.882230286,"MtLemmon","MogollonRim","Different"
"C1","M1",0.959642739,1.772004737,1.856682843,348.384662,0.913408385,"Chiricahuas","MogollonRim","Different"
"C2","M1",0.943420216,1.694013366,1.849587463,348.6087055,0.798631818,"Chiricahuas","MogollonRim","Different"
"C3","M1",0.969358608,2.274765215,1.843395053,348.7453985,0.95046668,"Chiricahuas","MogollonRim","Different"
"H1","M1",1,4.275898867,3.526921682,352.3872797,1,"Huachuas","MogollonRim","Different"
"H2","M1",0.995873858,4.236485672,3.516350466,352.4728194,0.984113794,"Huachuas","MogollonRim","Different"
"H3","M1",0.995977723,4.155769244,3.494403802,352.630332,0.998418844,"Huachuas","MogollonRim","Different"
"H4","M1",0.978199938,0.925030752,0.25138149,237.7959744,0.978005227,"Hualapai","MogollonRim","Different"
"H5","M1",1,2.060855211,0.313307063,238.2247776,1,"Hualapai","MogollonRim","Different"
"H6","M1",1,2.479117433,0.143136812,237.0216237,1,"Hualapai","MogollonRim","Different"
"M1","M1",0,0,0,0,0,"MogollonRim","MogollonRim","Same"
"M2","M1",0.872600927,0.004306351,0.008304535,0.658926256,0.580738748,"MogollonRim","MogollonRim","Same"
"M3","M1",0.955757398,0.000399658,0.014207217,1.139161913,0.8559613,"MogollonRim","MogollonRim","Same"
"M4","M1",0.95480916,2.421790998,0.976491692,16.51433117,0.849704357,"MogollonRim","MogollonRim","Same"
"M5","M1",0.956817409,1.719659875,0.975084593,16.6907492,0.785186386,"MogollonRim","MogollonRim","Same"
"M6","M1",1,1.713423616,0.903734621,15.57715008,1,"MogollonRim","MogollonRim","Same"
"M7","M1",0.987534205,0.120627081,0.582628553,89.27902193,0.969058353,"MogollonRim","MogollonRim","Same"
"M8","M1",0.956449468,0.200056888,0.660452445,89.66038282,0.715295034,"MogollonRim","MogollonRim","Same"
"M9","M1",0.963038318,0.259438918,0.71873757,90.28362339,0.815881897,"MogollonRim","MogollonRim","Same"
"N1","M1",0.968807339,0.11835216,0.188573155,71.62779325,0.610859624,"Mingus","MogollonRim","Different"
"N2","M1",0.919649123,0.068020752,0.144063613,71.30620337,0.790504558,"Mingus","MogollonRim","Different"
"N3","M1",0.98128509,0.093434014,0.17079312,72.08152175,0.895492484,"Mingus","MogollonRim","Different"
"P1","M1",0.951909802,2.185693419,1.775657444,253.3201349,0.860908367,"Pinaleno","MogollonRim","Different"
"P2","M1",0.97887768,2.179372356,1.874509245,254.1277942,0.977106129,"Pinaleno","MogollonRim","Different"
"P3","M1",0.964139667,1.437372272,1.825511708,253.6539606,0.954804677,"Pinaleno","MogollonRim","Different"
"Sunset Trail","M1",0.938582163,2.21891025,2.667129216,238.4096591,0.674284601,"MtLemmon","MogollonRim","Different"
"Upper Solders Camp Rd.","M1",0.884967764,2.97214024,2.702934693,238.6053987,0.363665082,"MtLemmon","MogollonRim","Different"
"A1","M2",1,1.393390726,1.559870054,93.62309728,1,"Flagstaff","MogollonRim","Different"
"A2","M2",1,1.337693561,1.560377086,92.74182245,1,"Flagstaff","MogollonRim","Different"
"A3","M2",0.960435213,1.384658302,1.556150571,92.44775273,0.909669496,"Flagstaff","MogollonRim","Different"
"B1","M2",0.955665025,1.419250762,0.588185293,97.9832143,0.855816394,"Bradshaw","MogollonRim","Different"
"B2","M2",0.971014493,1.385917648,0.582843201,98.11786558,0.972646067,"Bradshaw","MogollonRim","Different"
"B3","M2",0.958369471,1.432575493,0.582387473,97.60859591,0.949886751,"Bradshaw","MogollonRim","Different"
"Butterfly trail","M2",0.971976401,3.018155788,2.687220595,237.5517475,0.962910981,"MtLemmon","MogollonRim","Different"
"C1","M2",0.967632027,1.776311088,1.848378308,347.7417795,0.955325552,"Chiricahuas","MogollonRim","Different"
"C2","M2",0.964259121,1.698319717,1.841282928,347.9655508,0.98246853,"Chiricahuas","MogollonRim","Different"
"C3","M2",0.978424486,2.279071566,1.835090518,348.1020502,0.989665293,"Chiricahuas","MogollonRim","Different"
"H1","M2",1,4.280205218,3.518617147,351.7320923,1,"Huachuas","MogollonRim","Different"
"H2","M2",0.983448276,4.240792023,3.508045931,351.8175955,0.991451243,"Huachuas","MogollonRim","Different"
"H3","M2",0.997708174,4.160075595,3.486099267,351.9750722,0.999794642,"Huachuas","MogollonRim","Different"
"H4","M2",0.997769517,0.929337103,0.259686025,238.2037239,0.994489217,"Hualapai","MogollonRim","Different"
"H5","M2",0.996328029,2.065161562,0.321611598,238.6327473,0.998587197,"Hualapai","MogollonRim","Different"
"H6","M2",0.996309963,2.483423784,0.151441347,237.4290831,0.998546927,"Hualapai","MogollonRim","Different"
"M1","M2",0.872600927,0.004306351,0.008304535,0.658926256,0.580738748,"MogollonRim","MogollonRim","Same"
"M2","M2",0,0,0,0,0,"MogollonRim","MogollonRim","Same"
"M3","M2",0.93537859,0.003906693,0.005902682,0.495061351,0.921510079,"MogollonRim","MogollonRim","Same"
"M4","M2",0.824921136,2.426097349,0.968187157,16.22909575,0.64010427,"MogollonRim","MogollonRim","Same"
"M5","M2",0.960622711,1.723966226,0.966780058,16.39275607,0.931401719,"MogollonRim","MogollonRim","Same"
"M6","M2",0.992747053,1.717729968,0.895430086,15.2928267,0.997447112,"MogollonRim","MogollonRim","Same"
"M7","M2",0.994964029,0.11632073,0.590933088,89.90070284,0.999140552,"MogollonRim","MogollonRim","Same"
"M8","M2",0.822265625,0.195750536,0.66875698,90.28368837,0.400426662,"MogollonRim","MogollonRim","Same"
"M9","M2",0.98739874,0.255132567,0.727042105,90.9081621,0.993929124,"MogollonRim","MogollonRim","Same"
"N1","M2",1,0.122658511,0.18026862,72.04641379,1,"Mingus","MogollonRim","Different"
"N2","M2",0.960072595,0.072327103,0.135759078,71.71975197,0.888735934,"Mingus","MogollonRim","Different"
"N3","M2",0.999249249,0.097740365,0.162488585,72.49742966,0.999652159,"Mingus","MogollonRim","Different"
"P1","M2",0.923203285,2.18999977,1.767352909,252.6776622,0.824995987,"Pinaleno","MogollonRim","Different"
"P2","M2",0.943365696,2.183678707,1.86620471,253.4851368,0.934246146,"Pinaleno","MogollonRim","Different"
"P3","M2",0.999264165,1.441678624,1.817207173,253.0109307,0.999895248,"Pinaleno","MogollonRim","Different"
"Sunset Trail","M2",0.958860759,2.223216601,2.658824681,237.7568718,0.945434813,"MtLemmon","MogollonRim","Different"
"Upper Solders Camp Rd.","M2",0.803713528,2.976446591,2.694630158,237.9523699,0.398390232,"MtLemmon","MogollonRim","Different"
"A1","M3",1,1.397297419,1.565772736,94.08500807,1,"Flagstaff","MogollonRim","Different"
"A2","M3",0.999313658,1.341600254,1.566279768,93.20227236,0.999676744,"Flagstaff","MogollonRim","Different"
"A3","M3",0.971914894,1.388564995,1.562053253,92.90653948,0.939046293,"Flagstaff","MogollonRim","Different"
"B1","M3",0.974156497,1.415344069,0.582282611,98.27154759,0.95307837,"Bradshaw","MogollonRim","Different"
"B2","M3",0.950318471,1.382010955,0.576940519,98.40387396,0.92626853,"Bradshaw","MogollonRim","Different"
"B3","M3",0.949729312,1.428668801,0.576484791,97.8977695,0.918539803,"Bradshaw","MogollonRim","Different"
"Butterfly trail","M3",0.94261524,3.014249096,2.681317913,237.1080202,0.885580017,"MtLemmon","MogollonRim","Different"
"C1","M3",0.93463035,1.772404395,1.842475626,347.2493415,0.845523991,"Chiricahuas","MogollonRim","Different"
"C2","M3",0.955465587,1.694413024,1.835380246,347.4732101,0.909300146,"Chiricahuas","MogollonRim","Different"
"C3","M3",0.964589235,2.275164874,1.829187836,347.6097803,0.954946056,"Chiricahuas","MogollonRim","Different"
"H1","M3",0.990918264,4.276298525,3.512714465,351.2823508,0.994174475,"Huachuas","MogollonRim","Different"
"H2","M3",0.983167082,4.236885331,3.502143249,351.3677461,0.966786829,"Huachuas","MogollonRim","Different"
"H3","M3",0.9889883,4.156168902,3.480196585,351.5251164,0.98357279,"Huachuas","MogollonRim","Different"
"H4","M3",0.944600281,0.925430411,0.265588707,238.6184559,0.861974631,"Hualapai","MogollonRim","Different"
"H5","M3",0.995889003,2.061254869,0.32751428,239.0475934,0.996227499,"Hualapai","MogollonRim","Different"
"H6","M3",0.983281087,2.479517092,0.157344029,237.8436654,0.985739513,"Hualapai","MogollonRim","Different"
"M1","M3",0.955757398,0.000399658,0.014207217,1.139161913,0.8559613,"MogollonRim","MogollonRim","Same"
"M2","M3",0.93537859,0.003906693,0.005902682,0.495061351,0.921510079,"MogollonRim","MogollonRim","Same"
"M3","M3",0,0,0,0,0,"MogollonRim","MogollonRim","Same"
"M4","M3",0.975108899,2.422190656,0.962284475,16.1845948,0.988097326,"MogollonRim","MogollonRim","Same"
"M5","M3",0.953846154,1.720059533,0.960877376,16.33734544,0.916334155,"MogollonRim","MogollonRim","Same"
"M6","M3",0.99444885,1.713823275,0.889527404,15.25009911,0.994139473,"MogollonRim","MogollonRim","Same"
"M7","M3",0.985639687,0.120227423,0.59683577,90.39572656,0.995791374,"MogollonRim","MogollonRim","Same"
"M8","M3",0.96585736,0.199657229,0.674659662,90.77874387,0.95269025,"MogollonRim","MogollonRim","Same"
"M9","M3",0.943116241,0.25903926,0.732944787,91.40322325,0.893104757,"MogollonRim","MogollonRim","Same"
"N1","M3",0.984282908,0.118751818,0.174365938,72.46773893,0.963114921,"Mingus","MogollonRim","Different"
"N2","M3",0.950885668,0.06842041,0.129856396,72.13849759,0.869415252,"Mingus","MogollonRim","Different"
"N3","M3",0.973829201,0.093833672,0.156585903,72.9173655,0.97491939,"Mingus","MogollonRim","Different"
"P1","M3",0.930331024,2.186093078,1.761450227,252.1850799,0.870521238,"Pinaleno","MogollonRim","Different"
"P2","M3",0.997258396,2.179772015,1.860302028,252.9926177,0.997097491,"Pinaleno","MogollonRim","Different"
"P3","M3",0.969429348,1.437771931,1.811304491,252.5185425,0.955609397,"Pinaleno","MogollonRim","Different"
"Sunset Trail","M3",0.977793199,2.219309909,2.652921999,237.3136037,0.964003799,"MtLemmon","MogollonRim","Different"
"Upper Solders Camp Rd.","M3",0.974184783,2.972539898,2.688727476,237.5085028,0.954896888,"MtLemmon","MogollonRim","Different"
"A1","M4",0.96969697,3.819488075,2.528057211,102.060037,0.945363699,"Flagstaff","MogollonRim","Different"
"A2","M4",0.994656489,3.76379091,2.528564243,101.2952153,0.998112062,"Flagstaff","MogollonRim","Different"
"A3","M4",0.961051607,3.810755651,2.524337728,101.1231043,0.908492698,"Flagstaff","MogollonRim","Different"
"B1","M4",0.982622433,1.006846587,0.380001864,86.50606278,0.988468287,"Bradshaw","MogollonRim","Different"
"B2","M4",0.968514716,1.040179701,0.385343956,86.56954704,0.972620803,"Bradshaw","MogollonRim","Different"
"B3","M4",0.884509624,0.993521856,0.385799684,86.1598147,0.650154157,"Bradshaw","MogollonRim","Different"
"Butterfly trail","M4",0.972696246,0.59205844,1.719033438,229.2840448,0.975921645,"MtLemmon","MogollonRim","Different"
"C1","M4",0.996732026,0.649786261,0.880191151,344.7538358,0.999223204,"Chiricahuas","MogollonRim","Different"
"C2","M4",0.961623616,0.727777632,0.873095771,344.9470551,0.960868427,"Chiricahuas","MogollonRim","Different"
"C3","M4",0.981132075,0.147025782,0.866903361,345.0616844,0.988089562,"Chiricahuas","MogollonRim","Different"
"H1","M4",1,1.854107869,2.55042999,343.7249077,1,"Huachuas","MogollonRim","Different"
"H2","M4",0.987083617,1.814694675,2.539858774,343.8177887,0.985911995,"Huachuas","MogollonRim","Different"
"H3","M4",0.991647684,1.733978246,2.51791211,343.9824899,0.988939082,"Huachuas","MogollonRim","Different"
"H4","M4",0.892857143,1.496760245,1.227873182,231.2615925,0.752401537,"Hualapai","MogollonRim","Different"
"H5","M4",0.990338164,0.360935787,1.289798755,231.6960794,0.941735304,"Hualapai","MogollonRim","Different"
"H6","M4",0.989064399,0.057326436,1.119628504,230.4801936,0.940354304,"Hualapai","MogollonRim","Different"
"M1","M4",0.95480916,2.421790998,0.976491692,16.51433117,0.849704357,"MogollonRim","MogollonRim","Same"
"M2","M4",0.824921136,2.426097349,0.968187157,16.22909575,0.64010427,"MogollonRim","MogollonRim","Same"
"M3","M4",0.975108899,2.422190656,0.962284475,16.1845948,0.988097326,"MogollonRim","MogollonRim","Same"
"M4","M4",0,0,0,0,0,"MogollonRim","MogollonRim","Same"
"M5","M4",0.968637993,0.702131123,0.001407099,0.393905135,0.956073716,"MogollonRim","MogollonRim","Same"
"M6","M4",0.971715328,0.708367381,0.072757071,0.93720636,0.972626439,"MogollonRim","MogollonRim","Same"
"M7","M4",0.973856209,2.542418079,1.559120245,92.82265828,0.987955698,"MogollonRim","MogollonRim","Same"
"M8","M4",0.884018265,2.621847885,1.636944137,93.31692449,0.761720097,"MogollonRim","MogollonRim","Same"
"M9","M4",0.938604651,2.681229916,1.695229262,94.02247421,0.923180938,"MogollonRim","MogollonRim","Same"
"N1","M4",0.962833914,2.303438838,0.787918537,66.61964925,0.929769127,"Mingus","MogollonRim","Different"
"N2","M4",0.988685814,2.353770246,0.832428079,66.14492105,0.996777222,"Mingus","MogollonRim","Different"
"N3","M4",0.955882353,2.328356984,0.805698572,66.97563692,0.969434329,"Mingus","MogollonRim","Different"
"P1","M4",0.938430584,0.236097578,0.799165752,249.8756443,0.854408172,"Pinaleno","MogollonRim","Different"
"P2","M4",0.933870968,0.242418642,0.898017553,250.6611179,0.836262214,"Pinaleno","MogollonRim","Different"
"P3","M4",0.979228487,0.984418725,0.849020016,250.1464742,0.993880733,"Pinaleno","MogollonRim","Different"
"Sunset Trail","M4",0.932692308,0.202880747,1.690637524,229.4591926,0.813013097,"MtLemmon","MogollonRim","Different"
"Upper Solders Camp Rd.","M4",0.972993248,0.550349242,1.726443001,229.6929928,0.941684078,"MtLemmon","MogollonRim","Different"
"A1","M5",1,3.117356952,2.526650112,102.4462236,1,"Flagstaff","MogollonRim","Different"
"A2","M5",0.938189845,3.061659787,2.527157144,101.6807204,0.694940585,"Flagstaff","MogollonRim","Different"
"A3","M5",0.971098266,3.108624528,2.522930629,101.5078987,0.961821028,"Flagstaff","MogollonRim","Different"
"B1","M5",0.969060773,0.304715464,0.378594765,86.6717616,0.918879839,"Bradshaw","MogollonRim","Different"
"B2","M5",0.950819672,0.338048578,0.383936857,86.73285637,0.906727511,"Bradshaw","MogollonRim","Different"
"B3","M5",0.929192547,0.291390733,0.384392585,86.32654565,0.84942524,"Bradshaw","MogollonRim","Different"
"Butterfly trail","M5",0.989619377,1.294189563,1.720440537,228.8916284,0.984860773,"MtLemmon","MogollonRim","Different"
"C1","M5",1,0.052344862,0.88159825,344.3727183,1,"Chiricahuas","MogollonRim","Different"
"C2","M5",0.978640777,0.025646509,0.87450287,344.5657453,0.969624701,"Chiricahuas","MogollonRim","Different"
"C3","M5",0.991082045,0.555105341,0.86831046,344.680238,0.995578743,"Chiricahuas","MogollonRim","Different"
"H1","M5",1,2.556238992,2.551837089,343.3322053,1,"Huachuas","MogollonRim","Different"
"H2","M5",0.994685562,2.516825798,2.541265873,343.4250702,0.997336448,"Huachuas","MogollonRim","Different"
"H3","M5",1,2.436109369,2.519319209,343.5897559,1,"Huachuas","MogollonRim","Different"
"H4","M5",0.9960199,0.794629122,1.226466083,231.5281921,0.997133117,"Hualapai","MogollonRim","Different"
"H5","M5",1,0.341195336,1.288391656,231.9627712,1,"Hualapai","MogollonRim","Different"
"H6","M5",1,0.759457558,1.118221405,230.746689,1,"Hualapai","MogollonRim","Different"
"M1","M5",0.956817409,1.719659875,0.975084593,16.6907492,0.785186386,"MogollonRim","MogollonRim","Same"
"M2","M5",0.960622711,1.723966226,0.966780058,16.39275607,0.931401719,"MogollonRim","MogollonRim","Same"
"M3","M5",0.953846154,1.720059533,0.960877376,16.33734544,0.916334155,"MogollonRim","MogollonRim","Same"
"M4","M5",0.968637993,0.702131123,0.001407099,0.393905135,0.956073716,"MogollonRim","MogollonRim","Same"
"M5","M5",0,0,0,0,0,"MogollonRim","MogollonRim","Same"
"M6","M5",0.994791667,0.006236258,0.071349972,1.166997468,0.992266378,"MogollonRim","MogollonRim","Same"
"M7","M5",0.942,1.840286956,1.557713146,93.21217958,0.927596963,"MogollonRim","MogollonRim","Same"
"M8","M5",0.984777518,1.919716762,1.635537038,93.70681341,0.960862732,"MogollonRim","MogollonRim","Same"
"M9","M5",1,1.979098793,1.693822163,94.41260389,1,"MogollonRim","MogollonRim","Same"
"N1","M5",0.959381044,1.601307715,0.786511438,66.93468671,0.92879047,"Mingus","MogollonRim","Different"
"N2","M5",0.894520548,1.651639123,0.83102098,66.45774022,0.588642345,"Mingus","MogollonRim","Different"
"N3","M5",0.981557377,1.626225861,0.804291473,67.28898961,0.983342995,"Mingus","MogollonRim","Different"
"P1","M5",0.962744207,0.466033544,0.800572851,249.4966513,0.93777122,"Pinaleno","MogollonRim","Different"
"P2","M5",0.990605428,0.459712481,0.899424652,250.2819658,0.985051389,"Pinaleno","MogollonRim","Different"
"P3","M5",0.876787679,0.282287602,0.850427115,249.7670581,0.611294953,"Pinaleno","MogollonRim","Different"
"Sunset Trail","M5",0.974816369,0.499250376,1.692044623,229.0668529,0.937000615,"MtLemmon","MogollonRim","Different"
"Upper Solders Camp Rd.","M5",0.979879276,1.252480365,1.7278501,229.3005575,0.942496909,"MtLemmon","MogollonRim","Different"
"A1","M6",0.952614379,3.111120694,2.45530014,101.488458,0.914222563,"Flagstaff","MogollonRim","Different"
"A2","M6",1,3.055423528,2.455807172,100.7172589,1,"Flagstaff","MogollonRim","Different"
"A3","M6",1,3.10238827,2.451580657,100.5387932,1,"Flagstaff","MogollonRim","Different"
"B1","M6",1,0.298479206,0.307244793,87.09683598,1,"Bradshaw","MogollonRim","Different"
"B2","M6",1,0.33181232,0.312586885,87.16514916,1,"Bradshaw","MogollonRim","Different"
"B3","M6",0.992788462,0.285154474,0.313042613,86.74850609,0.98076521,"Bradshaw","MogollonRim","Different"
"Butterfly trail","M6",0.991831972,1.300425821,1.791790509,229.773522,0.978726056,"MtLemmon","MogollonRim","Different"
"C1","M6",1,0.05858112,0.952948222,344.9463162,1,"Chiricahuas","MogollonRim","Different"
"C2","M6",1,0.019410251,0.945852842,345.1413109,1,"Chiricahuas","MogollonRim","Different"
"C3","M6",0.990343995,0.561341599,0.939660432,345.2572098,0.971016842,"Chiricahuas","MogollonRim","Different"
"H1","M6",1,2.56247525,2.623187061,344.2068915,1,"Huachuas","MogollonRim","Different"
"H2","M6",1,2.523062056,2.612615845,344.2993519,1,"Huachuas","MogollonRim","Different"
"H3","M6",1,2.442345627,2.590669181,344.4636445,1,"Huachuas","MogollonRim","Different"
"H4","M6",0.869115959,0.788392864,1.155116111,231.5996353,0.688634165,"Hualapai","MogollonRim","Different"
"H5","M6",0.934731935,0.347431594,1.217041684,232.0338401,0.657002574,"Hualapai","MogollonRim","Different"
"H6","M6",0.873134328,0.765693817,1.046871433,230.8185581,0.426519786,"Hualapai","MogollonRim","Different"
"M1","M6",1,1.713423616,0.903734621,15.57715008,1,"MogollonRim","MogollonRim","Same"
"M2","M6",0.992747053,1.717729968,0.895430086,15.2928267,0.997447112,"MogollonRim","MogollonRim","Same"
"M3","M6",0.99444885,1.713823275,0.889527404,15.25009911,0.994139473,"MogollonRim","MogollonRim","Same"
"M4","M6",0.971715328,0.708367381,0.072757071,0.93720636,0.972626439,"MogollonRim","MogollonRim","Same"
"M5","M6",0.994791667,0.006236258,0.071349972,1.166997468,0.992266378,"MogollonRim","MogollonRim","Same"
"M6","M6",0,0,0,0,0,"MogollonRim","MogollonRim","Same"
"M7","M6",0.996116505,1.834050698,1.486363174,92.53995642,0.99925491,"MogollonRim","MogollonRim","Same"
"M8","M6",1,1.913480504,1.564187066,93.02845629,1,"MogollonRim","MogollonRim","Same"
"M9","M6",0.99339498,1.972862535,1.622472191,93.73007537,0.97516392,"MogollonRim","MogollonRim","Same"
"N1","M6",1,1.595071457,0.715161466,66.79817843,1,"Mingus","MogollonRim","Different"
"N2","M6",1,1.645402865,0.759671008,66.33208573,1,"Mingus","MogollonRim","Different"
"N3","M6",0.969181722,1.619989603,0.732941501,67.16065016,0.932652549,"Mingus","MogollonRim","Different"
"P1","M6",0.998226164,0.472269803,0.871922823,250.0497865,0.996416316,"Pinaleno","MogollonRim","Different"
"P2","M6",1,0.46594874,0.970774624,250.8366214,1,"Pinaleno","MogollonRim","Different"
"P3","M6",1,0.276051344,0.921777087,250.324264,1,"Pinaleno","MogollonRim","Different"
"Sunset Trail","M6",1,0.505486634,1.763394595,229.950432,1,"MtLemmon","MogollonRim","Different"
"Upper Solders Camp Rd.","M6",1,1.258716623,1.799200072,230.1820254,1,"MtLemmon","MogollonRim","Different"
"A1","M7",0.966555184,1.277069996,0.968936966,34.97172444,0.947150151,"Flagstaff","MogollonRim","Different"
"A2","M7",0.939341421,1.221372831,0.969443998,35.4530447,0.821883854,"Flagstaff","MogollonRim","Different"
"A3","M7",0.829326923,1.268337572,0.965217483,36.18335287,0.583649709,"Flagstaff","MogollonRim","Different"
"B1","M7",0.976006855,1.535571492,1.179118381,85.29072427,0.975273611,"Bradshaw","MogollonRim","Different"
"B2","M7",0.941616766,1.502238378,1.173776289,85.84242732,0.869340282,"Bradshaw","MogollonRim","Different"
"B3","M7",0.969752521,1.548896223,1.173320561,84.92074701,0.971702416,"Bradshaw","MogollonRim","Different"
"Butterfly trail","M7",0.977664975,3.134476518,3.278153683,320.2612489,0.980670892,"MtLemmon","MogollonRim","Different"
"C1","M7",0.991111111,1.892631818,2.439311396,437.1679465,0.997563604,"Chiricahuas","MogollonRim","Different"
"C2","M7",0.98060512,1.814640447,2.432216016,437.3759499,0.991507498,"Chiricahuas","MogollonRim","Different"
"C3","M7",0.985499741,2.395392296,2.426023606,437.5009934,0.993447428,"Chiricahuas","MogollonRim","Different"
"H1","M7",1,4.396525948,4.109550235,434.6554294,1,"Huachuas","MogollonRim","Different"
"H2","M7",0.994964029,4.357112753,4.098979019,434.7568672,0.998129527,"Huachuas","MogollonRim","Different"
"H3","M7",0.994299674,4.276396325,4.077032355,434.9297699,0.997259574,"Huachuas","MogollonRim","Different"
"H4","M7",1,1.045657833,0.331247063,169.3187337,1,"Hualapai","MogollonRim","Different"
"H5","M7",1,2.181482292,0.26932149,169.7013678,1,"Hualapai","MogollonRim","Different"
"H6","M7",1,2.599744514,0.439491741,168.6140614,1,"Hualapai","MogollonRim","Different"
"M1","M7",0.987534205,0.120627081,0.582628553,89.27902193,0.969058353,"MogollonRim","MogollonRim","Same"
"M2","M7",0.994964029,0.11632073,0.590933088,89.90070284,0.999140552,"MogollonRim","MogollonRim","Same"
"M3","M7",0.985639687,0.120227423,0.59683577,90.39572656,0.995791374,"MogollonRim","MogollonRim","Same"
"M4","M7",0.973856209,2.542418079,1.559120245,92.82265828,0.987955698,"MogollonRim","MogollonRim","Same"
"M5","M7",0.942,1.840286956,1.557713146,93.21217958,0.927596963,"MogollonRim","MogollonRim","Same"
"M6","M7",0.996116505,1.834050698,1.486363174,92.53995642,0.99925491,"MogollonRim","MogollonRim","Same"
"M7","M7",0,0,0,0,0,"MogollonRim","MogollonRim","Same"
"M8","M7",0.962316176,0.079429806,0.077823892,0.775753909,0.930881107,"MogollonRim","MogollonRim","Same"
"M9","M7",0.882729211,0.138811837,0.136109017,1.567204665,0.70731889,"MogollonRim","MogollonRim","Same"
"N1","M7",1,0.238979241,0.771201708,46.65697006,1,"Mingus","MogollonRim","Different"
"N2","M7",0.989603025,0.188647833,0.726692166,47.39743195,0.99771097,"Mingus","MogollonRim","Different"
"N3","M7",0.979691308,0.214061095,0.753421673,46.99559142,0.983789333,"Mingus","MogollonRim","Different"
"P1","M7",0.982813749,2.3063205,2.358285997,342.1597257,0.959413843,"Pinaleno","MogollonRim","Different"
"P2","M7",0.913351017,2.299999437,2.457137798,342.9573458,0.787861679,"Pinaleno","MogollonRim","Different"
"P3","M7",0.98976378,1.557999354,2.408140261,342.4637141,0.997306756,"Pinaleno","MogollonRim","Different"
"Sunset Trail","M7",0.991863303,2.339537331,3.249757769,320.4014012,0.997448793,"MtLemmon","MogollonRim","Different"
"Upper Solders Camp Rd.","M7",0.996855346,3.092767321,3.285563246,320.6778706,0.999135824,"MtLemmon","MogollonRim","Different"
"A1","M8",0.994535519,1.19764019,0.891113074,34.33360901,0.990762825,"Flagstaff","MogollonRim","Different"
"A2","M8",0.940512821,1.141943024,0.891620106,34.82856575,0.937150585,"Flagstaff","MogollonRim","Different"
"A3","M8",0.931787176,1.188907766,0.887393591,35.56545914,0.856697683,"Flagstaff","MogollonRim","Different"
"B1","M8",0.94426919,1.615001298,1.256942273,86.06020311,0.887029048,"Bradshaw","MogollonRim","Different"
"B2","M8",0.948409286,1.581668184,1.251600181,86.61211501,0.91923785,"Bradshaw","MogollonRim","Different"
"B3","M8",0.923875433,1.62832603,1.251144453,85.69046813,0.876731796,"Bradshaw","MogollonRim","Different"
"Butterfly trail","M8",0.986095662,3.213906325,3.355977575,320.8476094,0.979258995,"MtLemmon","MogollonRim","Different"
"C1","M8",0.995744681,1.972061624,2.517135288,437.6091446,0.999001482,"Chiricahuas","MogollonRim","Different"
"C2","M8",0.988288288,1.894070253,2.510039908,437.8181155,0.98857109,"Chiricahuas","MogollonRim","Different"
"C3","M8",0.98273878,2.474822103,2.503847498,437.9438512,0.974137764,"Chiricahuas","MogollonRim","Different"
"H1","M8",1,4.475955754,4.187374127,435.2472204,1,"Huachuas","MogollonRim","Different"
"H2","M8",0.996672213,4.43654256,4.176802911,435.3484561,0.999136826,"Huachuas","MogollonRim","Different"
"H3","M8",0.986407767,4.355826131,4.154856247,435.5211665,0.974002386,"Huachuas","MogollonRim","Different"
"H4","M8",0.988764045,1.12508764,0.409070955,169.5803518,0.970955225,"Hualapai","MogollonRim","Different"
